id	rate
04	2621
05	2613
06	39909
08	14237
09	704
11	1992
13	3360
15	8901
17	2780
18	608
22	1534
27	722
28	539
30	1232
35	1616
38	54
40	385
42	2242
47	3791
51	3127
72	1469
10	1008
54	587
55	1217
56	966
01	5023
02	379
12	40491
16	1310
20	1215
24	3429
34	7172
37	13896
45	10667
53	3692
50	1725
49	3797
19	557
21	404
23	2720
25	11579
26	1721
29	1344
31	179
32	1885
33	1249
36	28694
39	1150
41	4607
44	672
46	173
48	7145
