id	rate
04	268
05	24
06	10156
08	815
09	100
11	1120
13	306
15	956
17	1493
18	86
22	489
27	115
28	23
30	42
35	91
38	2
40	16
42	449
47	156
51	342
72	411
10	14
54	6
55	110
56	21
01	32
02	42
12	3006
16	64
20	15
24	244
34	771
37	301
45	118
53	653
50	113
49	233
19	34
21	43
23	103
25	1349
26	121
29	96
31	18
32	264
33	39
36	15741
39	114
41	443
44	83
46	3
48	1321
